Name,Type,Notes,Longevity,Sillage,Purchased,Group
Acqua di Gio Giorgio Armani,"Aromatic, Aquatic","Lime, Lemon, Bergamot, Jasmine, Orange, Mandarin Orange, Neroli, Sea Notes, Jasmine, Calone, Rosemary, Peach, Freesia, Hiacynth, Cyclamen, Violet, Coriander, Rose, Nutmeg, Mignonette, White Musk, Cedar, Oakmoss, Patchouli, Amber",2.91,2,1,Test
Azzaro Chrome Parfum,"Citrus, Aromatic","Bergamot, Sage, Fir Resin",3.225,2.07,1,Test
Azzaro Wanted,"Woody, Aromatic","Juniper Berries, Sage, Vetiver",3.27,2.13,0,Test
Burberry Hero Eau de Toillete,"Woody, Spicy","Bergamot, Juniper, Black Pepper, Atlas Cedar, Virginian Cedar, Himalayan Cedar",2.89,1.86,0,Test
Bvlgari Man Rain Essence Bvlgari,"Floral, Woody, Musk","Green Tea,Orange, White Lotus, Musk, Guaiac Wood, Amber",3.11,1.9,1,Test
Calvin Klein Eternity,"Aromatic, Fougere","Lavender, Lemon, Bergamot, Mandarin Orange, Sage, Juniper Berries, Basil, Geranium, Jasmine, Coriander, Orange Blossom, Lily-of-the-Valley, Lily, Sandalwood, Musk, Vetiver, Brazilian Rosewood, Amber",2.94,2.05,0,Test
Coach for men,"Woody, Aromatic","Pear, Bergamot, Kumquat, Lavender, Grapefruit, Cardamom, Geranium, Coriander, Ambergris, Suede, Amberwood, Haitian Vetiver.",2.89,1.99,0,Test
D&G K,"Woody, Spicy","Blood Orange, Sicilian Lemon, Fig, Saffron, Leather, Woody Notes",3.42,2.2,1,Test
D&G Light blue,"Citrus, Aromatic","Grapefruit, Bergamot, Sicilian Mandarin, Juniper, Pepper, Rosemary, Brazilian Rosewood, Musk, Incense, Oakmoss",2.81,1.89,0,Test
Givenchy Gentleman Society,"Woody, Aromatic","Cardamom, Sage, French Narcissus, Haitian Vetiver, Madagascar Vetiver, Vanilla, Palo Santo, Cedar",3.4,2.2,0,Test
Gucci Guilty Pour Homme,"Woody, Aromatic","Lavender, Amalfi Lemon, African Orange Flower, Virginia Cedar, Patchouli, Vanilla",2.88,1.96,0,Test
L'Eau d'Issey Pour Homme Issey Miyake,"Woody, Aquatic","Yuzu, Lemon, Bergamot, Lemon Verbena, Mandarin Orange, Cypress, Calone, Coriander, Tarragon, Sage, Blue Lotus, Nutmeg, Lily-of-the-Valley, Bourbon Geranium, Saffron, Ceylon Cinnamon, Mignonette, Tahitian Vetiver, Musk, Cedar, Sandalwood, Amber, Tobacco",3.33,2.23,1,Test
John Varvatos XX Artisan Teal,"Aromatic, Aquatic","Lemon, Rosemary, Water Lily, Pink Pepper, Sea Salt, Musk, Driftwood",2.69,1.86,0,Test
Montblanc Legend,"Leather, Fougere","Violet Leaves, Bergamot, Woodsy Notes, Jasmine, Magnolia, Oakmoss, Leather",3.39,2.07,1,Test
Luna Rossa Ocean by Prada,"Aromatic, Fougere","Bergamot, Pink Pepper, Artemisia, Lavender, Iris, Sage, Suede, Saffron, Musk, Caramel, Haitian Vetiver, Patchouli",3,1.94,1,Test
Ralph Lauren Polo Blue,"Aromatic, Fougere","Cucumber, Melon, Mandarin Orange, Basil, Sage, Geranium, Suede, Woodsy Notes, Musk",2.98,2.03,1,Test
Ralph Lauren Polo Red,"Woody, Spicy","Cranberry, Grapefruit, Italian Lemon, Saffron, Sage, Amber, Coffee, Woodsy Notes",2.96,1.9,0,Test
Ralphs Club Parfum,"Woody, Spicy","Lavender, Apple, Grapefruit, Clary Sage, Geranium, Orange Blossom, Vetiver, Virginia Cedar, Patchouli, Cashmeran",3.13,2,1,Test
TUMI Awaken Distilled Extrait,"Woody, Aromatic","Italian Mandarin, Bergamot, Black Lavender, Amberwood, Patchouli, Cedarwood",3.42,2.32,0,Test
Valentino Born in Rome,"Woody, Spicy","Mineral, Violet Leaf, Salt, Ginger, Sage, Woody, Vetiver",3.27,2.17,0,Test
Eros Versace,"Aromatic, Fougere","Mint, Green Apple, Lemon, Tonka Bean, Ambroxan, Geranium, Madagascar Vanilla, Virginian Cedar, Atlas Cedar, Vetiver, Oakmoss",3.52,2.49,1,Test
Spicebomb Night Vision Eau de Parfum Viktor&Rolf,"Oriental, Fougere","Green Apple, Cardamom, Black Pepper, Nutmeg, Chili Pepper, Cloves, Lemon, Grapefruit, Lavender, Mint, Clary Sage, Rosemary, Mastic, Coriander, Pistachio, Nutty Notes, Balsam Fir, Cedar, Benzoin, Peru Balsam, Olibanum, Labdanum, Patchouli",3.66,2.47,0,Test
Yves Saint Laurent Y,"Woody, Aromatic","Aldehydes, Bergamot, Ginger, Mint, Lemon, Apple, Violet Leaf, Pineapple, Sage, Geranium, Ambergris, Musk, Cedar, Balsam Fir, Vetiver, Incense",3.07,2.13,0,Test
Le Male Jean Paul Gautier,"Oriental, Fougere","Lavender, Mint, Cardamom, Bergamot, Artemisia, Cinnamon, Orange Blossom, Caraway, Vanilla, Tonka Bean, Amber, Sandalwood, Cedar",3.61,2.44,1,Test
